time;stolen;load
1674187621;3917;0.00
1674187681;3917;0.06
1674187741;3918;0.02
1674187801;3920;0.07
1674187861;3921;0.02
1674187921;3921;0.08
1674187981;3922;0.03
1674188041;3923;0.01
1674188101;3925;0.00
1674188161;3926;0.05
1674188221;3929;0.02
1674188281;3932;0.06
1674188342;3933;0.02
1674188402;3934;0.07
1674188462;3935;0.02
1674188522;3936;0.07
1674188582;3937;0.03
1674188642;3938;0.01
1674188702;3939;0.05
1674188762;3940;0.02
1674188822;3941;0.05
1674188882;3942;0.02
1674188942;3943;0.06
1674189002;3944;0.02
1674189062;3945;0.06
1674189122;3946;0.02
1674189182;3947;0.07
1674189242;3948;0.02
1674189302;3949;0.01
1674189362;3950;0.00
1674189422;3951;0.00
1674189482;3953;0.00
1674189542;3954;0.00
1674189602;3955;0.00
1674189662;3957;0.00
1674189722;3957;0.04
1674189782;3958;0.01
1674189842;3959;0.05
1674189902;3961;0.07
1674189962;3962;0.03
1674190022;3963;0.01
1674190082;3964;0.00
1674190142;3965;0.00
1674190202;3966;0.04
1674190262;3968;0.01
1674190322;3969;0.05
1674190382;3970;0.02
1674190442;3971;0.06
1674190502;3974;0.02
1674190562;3975;0.00
1674190622;3977;0.04
1674190682;3980;0.01
1674190742;3981;0.00
1674190802;3986;0.00
1674190862;3988;0.00
1674190922;3989;0.00
1674190982;3991;0.00
1674191042;3993;0.00
1674191102;3994;0.00
1674191162;3996;0.00
1674191222;3998;0.07
1674191282;4000;0.02
1674191343;4002;0.09
1674191403;4003;0.03
1674191463;4006;0.01
1674191523;4007;0.00
1674191583;4008;0.00
1674191643;4011;0.03
1674191703;4013;0.01
1674191763;4014;0.05
1674191823;4016;0.02
1674191883;4018;0.04
1674191943;4020;0.01
1674192003;4021;0.04
1674192063;4022;0.01
1674192123;4024;0.04
1674192183;4028;0.01
1674192243;4029;0.04
1674192303;4034;0.01
1674192363;4041;0.00
1674192423;4044;0.00
1674192483;4045;0.04
1674192543;4049;0.01
1674192603;4051;0.05
1674192663;4053;0.02
1674192723;4055;0.00
1674192783;4061;0.00
1674192843;4063;0.00
1674192903;4066;0.04
1674192963;4069;0.01
1674193023;4071;0.08
1674193083;4073;0.10
1674193143;4075;0.09
1674193203;4077;0.11
1674193263;4079;0.10
1674193323;4083;0.03
1674193383;4086;0.07
1674193443;4087;0.02
1674193503;4089;0.08
1674193563;4092;0.03
1674193623;4095;0.10
1674193683;4096;0.04
1674193743;4097;0.07
1674193803;4099;0.02
1674193863;4100;0.01
1674193923;4103;0.00
1674193983;4105;0.00
1674194044;4106;0.00
1674194104;4108;0.08
1674194164;4108;0.03
1674194224;4110;0.01
1674194284;4113;0.06
1674194344;4113;0.18
1674194404;4115;0.13
1674194464;4116;0.04
1674194524;4117;0.08
1674194584;4119;0.03
1674194644;4121;0.01
1674194704;4122;0.00
1674194764;4123;0.00
1674194824;4125;0.07
1674194884;4127;0.02
1674194944;4130;0.08
1674195004;4132;0.03
1674195064;4133;0.08
1674195124;4135;0.03
1674195184;4138;0.09
1674195244;4139;0.03
1674195304;4140;0.01
1674195364;4142;0.03
1674195424;4143;0.01
1674195484;4145;0.04
1674195544;4146;0.01
1674195604;4147;0.00
1674195664;4148;0.04
1674195724;4150;0.01
1674195784;4152;0.00
1674195844;4153;0.00
1674195904;4161;0.00
1674195964;4163;0.00
1674196024;4165;0.03
1674196084;4166;0.01
1674196144;4167;0.08
1674196204;4170;0.06
1674196264;4171;0.02
1674196324;4174;0.04
1674196384;4177;0.01
1674196444;4179;0.04
1674196504;4183;0.01
1674196564;4188;0.13
1674196624;4192;0.05
1674196684;4194;0.12
1674196744;4197;0.04
1674196804;4199;0.06
1674196864;4200;0.02
1674196924;4202;0.01
1674196985;4203;0.00
1674197045;4204;0.00
1674197105;4206;0.00
1674197165;4207;0.06
1674197225;4208;0.02
1674197285;4209;0.01
1674197345;4210;0.00
1674197405;4211;0.06
1674197465;4212;0.02
1674197525;4213;0.07
1674197585;4215;0.02
1674197645;4216;0.07
1674197705;4217;0.03
1674197765;4219;0.08
1674197825;4224;0.03
1674197885;4225;0.09
1674197945;4226;0.08
1674198005;4230;0.03
1674198065;4232;0.04
1674198125;4233;0.01
1674198185;4234;0.00
1674198245;4235;0.00
1674198305;4236;0.00
1674198365;4237;0.00
1674198425;4238;0.00
1674198485;4239;0.00
1674198545;4239;0.00
1674198605;4240;0.00
1674198665;4243;0.12
1674198725;4244;0.04
1674198785;4246;0.01
1674198845;4247;0.04
1674198905;4248;0.06
1674198965;4250;0.06
1674199025;4251;0.02
1674199085;4253;0.04
1674199145;4254;0.01
1674199205;4255;0.04
1674199265;4257;0.07
1674199325;4258;0.02
1674199385;4260;0.01
1674199445;4261;0.00
1674199505;4262;0.00
1674199565;4263;0.00
1674199625;4264;0.00
1674199685;4265;0.00
1674199745;4266;0.00
1674199805;4267;0.00
1674199865;4269;0.06
1674199925;4271;0.02
1674199985;4273;0.07
1674200045;4274;0.02
1674200105;4275;0.01
1674200166;4276;0.00
1674200226;4277;0.07
1674200286;4279;0.02
1674200346;4279;0.01
1674200406;4282;0.00
1674200466;4284;0.00
1674200526;4286;0.09
1674200586;4286;0.03
1674200646;4287;0.07
1674200706;4290;0.02
1674200766;4291;0.08
1674200826;4293;0.03
1674200886;4295;0.08
1674200946;4297;0.03
1674201006;4299;0.09
1674201066;4301;0.03
1674201126;4302;0.06
1674201186;4303;0.09
1674201246;4305;0.03
1674201306;4307;0.01
1674201366;4308;0.00
1674201426;4309;0.00
1674201486;4311;0.00
1674201546;4312;0.00
1674201606;4315;0.00
1674201666;4316;0.00
1674201726;4318;0.00
1674201786;4319;0.03
1674201846;4321;0.01
1674201906;4323;0.00
1674201966;4324;0.00
1674202026;4325;0.19
1674202086;4326;0.07
1674202146;4328;0.10
1674202206;4329;0.04
1674202266;4330;0.01
1674202326;4332;0.03
1674202386;4334;0.04
1674202446;4335;0.01
1674202506;4336;0.00
1674202566;4337;0.03
1674202626;4338;0.01
1674202686;4339;0.00
1674202746;4341;0.00
1674202806;4342;0.04
1674202866;4343;0.01
1674202926;4344;0.00
1674202986;4345;0.04
1674203046;4347;0.06
1674203106;4348;0.02
1674203166;4350;0.06
1674203226;4352;0.02
1674203286;4353;0.06
1674203347;4353;0.02
1674203407;4355;0.01
1674203467;4357;0.00
1674203527;4359;0.00
1674203587;4362;0.05
1674203647;4362;0.02
1674203707;4364;0.04
1674203767;4365;0.01
